Sci name,Com name,Avg kg per km^2,Avg count per km^2
Sebastolobus altivelis,Longspine thornyhead,1749.606251,13729.32844
Alepocephalus tenebrosus,California slickhead,884.357671,2424.27872
Coryphaenoides acrolepis,Pacific grenadier,852.5547766,1657.680199
Microstomus pacificus,Dover sole,892.0091388,891.8958202
Bathyagonus,Deepwater poacher,32.05484421,754.2316284
Bathylagidae,Deep-sea smelts,23.28243766,605.4144827
Sebastolobus alascanus,Shortspine thornyhead,684.2147582,498.5766542
Bothrocara brunneum,Twilight eelpout,132.505625,445.4494984
Bathylagus,Black smelt,17.30652524,426.1094595
Bathylagus pacificus,Pacific deep-sea smelt,17.31277072,421.4543493
Antimora microlepis,Blue antimora,168.2717051,418.6403965
Anoplopoma fimbria,Sablefish,669.875448,356.263163
Embassichthys bathybius,Deepsea sole,248.9900367,337.4105478
Lycenchelys crotalinus,Snake eelpout,35.42035423,291.2623952
Albatrossia pectoralis,Giant grenadier,383.3384589,282.5084021
Bathylagus milleri,Miller’s deep-sea smelt,9.824919002,241.6845356
Amblyraja badia,Broad skate,346.3369093,222.0108393
Apristurus kampae,Longnose catshark,106.4154532,185.7564402
Apristurus brunneus,Brown cat shark,62.42084232,180.459585
Eptatretus stoutii,Pacific hagfish,31.18640218,170.4950458
Myxinidae,Hagfishes,23.15007449,151.4016885
Myctophidae,Lanternfishes,1.107768506,137.8625657
Melamphaes lugubris,Lugubrious bigscale,1.353452329,113.1441489
Lycodapus,Eelpout,0.521779816,104.3559631
Lampanyctus,Lanternfish,4.090185494,90.34929615
Eptatretus deani,Dean’s hagfish,17.14745415,89.84794854
Bathyraja sp.,Softnose skates,172.5821863,84.99204994
Nezumia stelgidolepis,Roughscale grenadier,4.360100425,80.07908031
Nezumia liolepis,Smooth grenadier,5.072768473,69.91192959
Careproctus melanurus,Blacktail snailfish,8.297012307,69.14176923
Nemichthys scolopaceus,Slender snipe eel,0.691417692,69.14176923
Talismania bifurcata,Deep-sea cusk eel,12.09407084,68.60202438
Bothrocara molle,Soft eelpout,1.318552198,65.9276099
Argentina sialis,Pacific argentine,2.4251484,60.62871001
Paraliparis dactylosus,Finger snailfish,1.176771634,58.83858169
Poromitra crassiceps,Bighead slickhead,1.10053542,58.33767301
Careproctus colletti,Collett’s snailfish,3.453475894,57.55793156
Serrivomer,Sawtooth eels,2.227601255,55.69003138
Idiacanthus antrostomus,Pacific blackdragon,0.900231137,53.8984057
Chauliodus macouni,Pacific viperfish,1.702490436,52.74459737
Stomias atriventer,Black-bellied dragonfish,2.425287058,51.69371083
Avocettina infans,Duckbill eel,1.756831303,50.56809813
Anoplogaster cornuta,Common fangtooth,3.194288097,50.11881045
Careproctus cypselurus,Highfin snailfish,9.9438907,49.52793228
Aristostomias scintillans,Scaly dragonfish,2.688384588,48.69428918
Lycenchelys camchatica,Kamchatka eelpout,0.675205149,48.45115953
Lycodapus fierasfer,Slender eelpout,0.771760987,48.07081947
Diaphus,Lanternfish,0.478198772,47.81987723
Diaphus theta,California headlightfish,0.478198772,47.81987723
Argyropelecus affinis,Deep-sea hatchetfish,0.419541966,47.37292242
Chiasmodon niger,Black swallower,1.13348047,46.00363761
Paraliparis cephalus,Head snailfish,0.451580164,45.15801638
Liparidae,Snailfishes,4.324887261,43.24887261
Oneirodidae,Dreamers,6.054842165,43.24887261
Stenobrachius leucopsarus,Northern lampfish,0.505653261,42.47640113
Trachipterus altivelis,King-of-the-salmon,8.331375066,42.32099951
Zesticelus profundorum,Deep-sea sculpin,0.294485921,41.8747751
Sternoptyx,Hatchetfish,0.811403109,40.57015543
Oneirodes,Dreamer anglerfish,1.841598995,40.09012378
Borostomias panamensis,Panama snaggletooth,7.97677868,39.8838934
Opisthoproctidae,Barreleyes,1.528438799,38.21096996
Benthalbella dentata,Toothed lanternfish,1.790786907,38.20251597
Argyropelecus,Hatchetfish,0.377904001,37.79040012
Tactostoma macropus,Longfin dragonfish,0.911085993,37.01684866
Nemichthyidae,Snipe eels,0.705166221,35.25831103
Lycodapus dermatinus,Skinny eelpout,0.702276918,35.11384591
Sternoptychidae,Deep-sea hatchetfishes,0.702276918,35.11384591
Rhinoliparis barbulifer,Bearded snailfish,0.341498039,34.14980391
Lycodapus mandibularis,Toothed eelpout,0.32600565,32.60056497
Serrivomer sector,Sawtooth eel,2.563938523,32.04923154
Coryphaenoides cinereus,Abyssal grenadier,5.625911796,31.25506553
Lampanyctus jordani,Brokenline lanternfish,1.863927456,31.06545761
Paraliparis rosaceus,Rosy snailfish,0.621309152,31.06545761